//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Item1,Item2,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
0,DEFAULT,Default,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,WOLF,Wolf,7,125,0,24,0,1,18,23,0,0,1,10,14,10,10,12,10,12,1,2,22,9,200,1054,54,432,512,0,920,5500,2307,10,517,650,512,0,919,5500,512,0,512,0,0,0,,,,,,,,
78,SPORE,Spore,5,95,0,10,0,1,13,15,0,5,1,5,5,0,10,4,10,12,1,3,21,1,200,1872,672,288,921,5000,507,800,510,50,512,0,2220,40,921,5,512,0,512,0,0,0,,,,,,,,
80,SKEL_ARCHER,Skel Archer,12,280,0,53,0,9,34,43,0,0,1,8,14,5,50,5,10,12,1,1,29,5,300,2864,864,576,932,4500,512,0,512,0,1701,1000,512,0,501,800,1701,150,512,0,0,0,,,,,,,,
82,CREAMY,Creamy,13,385,0,48,0,1,36,43,0,30,1,32,13,11,14,38,10,12,0,4,24,1,150,1136,720,840,924,5500,2321,10,512,0,512,0,2208,2,512,0,512,0,512,0,0,0,,,,,,,,
83,PECOPECO,PecoPeco,9,231,0,30,0,1,26,32,0,0,1,10,10,18,20,9,10,12,2,2,23,9,200,1564,864,576,925,5500,1207,200,508,50,916,3500,512,0,512,0,512,0,512,0,0,0,,,,,,,,
84,MANDRAGORA,Mandragora,10,180,0,36,0,4,20,28,0,25,1,10,20,0,30,10,10,12,1,3,62,4,800,2087,768,576,512,0,905,5500,1404,30,511,350,512,0,512,0,512,0,512,0,0,0,,,,,,,,
86,WERE_WOLF,Werewolf,28,6600,0,1813,0,1,280,343,15,10,1,22,30,1,55,32,10,10,2,0,40,53,200,800,768,652,920,2000,919,500,517,1000,1713,500,512,0,512,0,512,0,512,0,0,0,0,0,2105,500,1360,100,512,0
88,WORM_TAIL,Worm Tail,13,356,0,50,0,2,36,45,5,10,1,11,23,5,38,5,10,12,1,3,22,17,200,1048,48,192,993,60,905,1500,906,5500,1407,30,508,70,512,0,512,0,512,0,0,0,,,,,,,,
89,BOA,Boa,12,322,0,43,0,1,32,40,0,0,1,12,12,10,28,5,10,12,1,2,22,1,200,1576,576,576,926,5500,1116,15,507,900,512,0,937,800,512,0,512,0,512,0,0,0,,,,,,,,
90,MUNAK,Munak,15,420,0,70,0,1,54,62,0,0,1,15,18,5,38,15,10,12,1,1,29,5,200,2468,768,288,508,5500,939,4500,512,0,512,0,2337,1,2305,100,512,0,512,0,0,0,,,,,,,,
91,RAPTICE,Raptice,17,600,0,100,0,1,55,70,5,10,5,20,20,0,28,10,10,12,1,2,22,1,200,2000,600,600,512,2000,513,1000,512,0,512,0,512,0,512,0,512,0,512,0,0,0,,,,,,,,
92,SKEL_SOLDIER,Skel Soldier,13,304,0,56,0,1,40,49,10,15,1,15,20,5,36,15,10,12,1,1,29,5,200,2276,576,432,932,5500,512,0,1504,1000,501,700,934,10,512,0,512,0,512,0,0,0,,,,,,,,
93,ISIS,Isis,16,482,0,82,0,1,68,75,10,35,26,52,34,26,52,15,10,12,2,6,27,21,200,1384,768,336,936,5500,926,3500,1510,500,512,0,512,0,512,0,512,0,512,0,0,0,,,,,,,,
94,ANACONDAQ,Anacondaq,17,462,0,94,0,1,82,94,0,0,1,23,24,10,31,5,10,12,1,2,25,17,200,1576,576,576,512,0,937,5500,1454,10,926,3500,512,0,508,150,512,0,512,0,0,0,,,,,,,,
95,POPORING,Poporing,14,344,0,81,0,1,59,72,0,10,1,14,14,0,19,15,10,12,1,3,25,3,300,1672,672,480,938,5500,909,5000,511,500,514,200,512,0,512,0,512,0,512,0,0,0,,,,,,,,
96,VORIT,Vorit,20,843,0,143,0,1,118,142,0,5,1,17,32,0,32,20,10,12,1,1,29,3,250,2468,768,480,929,5500,912,700,930,2000,509,550,512,0,2608,200,512,0,512,0,0,0,,,,,,,,
97,ELDER_WILLOW,Elder Willow,13,303,0,62,0,1,40,49,10,30,1,18,23,30,35,26,10,12,1,3,43,5,200,1372,672,432,512,0,907,5500,512,0,512,0,1607,500,512,0,512,0,512,0,0,0,,,,,,,,
98,THARA_FROG,Thara Frog,22,1852,0,319,0,1,105,127,0,10,1,20,20,5,30,10,10,12,1,5,41,1,200,2016,816,288,910,5500,908,2500,512,0,509,30,1610,500,918,2000,512,0,512,0,0,0,,,,,,,,
99,HUNTER_FLY,Hunter Fly,19,520,0,122,0,1,106,133,25,15,30,92,28,15,65,30,10,12,0,4,44,5,150,676,576,480,996,30,512,0,512,0,912,1300,512,0,512,0,1225,2,512,0,0,0,,,,,,,,
101,SIDE_WINDER,Sidewinder,20,543,0,138,0,1,112,145,5,10,32,38,33,15,85,20,10,12,1,2,25,21,200,1576,576,576,512,0,912,1400,512,0,1119,2,937,2500,926,5000,509,1000,512,0,0,0,,,,,,,,
102,OSIRIS,Osiris,38,15400,0,7500,0,1,580,650,10,25,1,55,48,33,66,20,10,10,1,1,89,53,100,1072,672,384,1516,1000,930,5000,2405,550,934,3000,512,0,512,0,512,0,512,0,0,0,0,0,2105,500,1226,100,512,0
103,BAPHOMET,Baphomet,50,900,0,9250,0,2,620,840,999,12,1,62,40,32,72,20,10,10,2,6,67,53,100,1068,768,576,1463,200,2316,200,2607,800,512,0,512,0,512,0,512,0,512,0,0,0,0,0,1410,100,512,0,512,0
105,MUMMY,Mummy,19,820,0,124,0,1,109,129,0,10,25,17,28,0,51,20,10,12,1,1,49,5,300,1772,72,384,930,5500,512,0,934,550,2604,1,2608,10,512,0,502,450,512,,0,0,,,,,,,,
106,STEEL_CHONCHON,Steel ChonChon,7,112,0,21,0,1,16,20,15,0,1,32,15,5,24,7,10,12,0,4,24,11,150,1076,576,480,512,0,512,0,512,0,935,3500,512,0,512,0,512,0,512,0,0,0,,,,,,,,
107,SEAHORES,Seahorse,18,772,0,112,0,1,95,103,15,7,17,1,1,1,1,1,10,10,0,5,22,1,200,1500,800,600,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,,,,,,,,,,
108,OBEAUNE,Obeaune,20,952,0,134,0,1,121,143,0,40,1,26,26,44,58,62,10,12,1,5,41,21,200,1872,672,288,929,3500,512,0,512,0,2330,50,512,0,512,0,512,0,512,0,0,0,,,,,,,,
109,MARC,Marc,22,1063,0,168,0,1,143,180,5,10,1,32,32,20,43,26,10,12,1,5,41,5,150,1272,72,480,512,0,512,0,512,0,512,0,512,0,512,0,509,600,512,0,0,0,,,,,,,,
110,DOPPELGANGER,Doppelganger,20,2490,0,848,0,1,150,174,18,5,16,30,20,8,25,20,10,10,1,6,67,53,130,1230,580,488,512,0,2337,250,512,0,512,0,1154,550,512,0,512,0,512,0,0,0,0,0,505,1000,1157,100,512,0
